Library,Commit,Root Cause,Date,Label
tensorflow,https://github.com/tensorflow/tensorflow/commit/42fbcf15fc9777c230d19c8e1f43cd2095a4fb34,N.A,2024-07-19 7:22:42,clean
tensorflow,https://github.com/tensorflow/tensorflow/commit/45395535f545b86ef017ba1c407d1a0545519d8f,N.A,2024-07-05 6:28:59,clean
tensorflow,https://github.com/tensorflow/tensorflow/commit/a908b587f39c8fb1ec0a4805a6bb6d2225d34fcb,N.A,2024-07-03 17:59:10,clean
tensorflow,https://github.com/tensorflow/tensorflow/commit/c10c6efa90468912f92ff2f67a6ae07f0863234e,N.A,2024-07-02 10:02:07,clean
tensorflow,https://github.com/tensorflow/tensorflow/commit/91eaa88d88011f559365d1077f4838c1065fcdc7,N.A,2024-06-28 17:48:51,clean
tensorflow,https://github.com/tensorflow/tensorflow/commit/d24dadc14e6172b30ed45324c849e2666b505c3f,N.A,2024-06-26 0:55:04,clean
tensorflow,https://github.com/tensorflow/tensorflow/commit/8583ef6dd875447a008ec6110a1baba6dc6fe616,N.A,2024-06-24 17:37:25,clean
tensorflow,https://github.com/tensorflow/tensorflow/commit/da6448317927642650a250a5fb3b84796eb2164b,N.A,2024-06-06 19:45:38,clean
tensorflow,https://github.com/tensorflow/tensorflow/commit/77671a4e00dc6ebc8a0db8a31df12255aed91eab,N.A,2024-06-06 18:33:57,clean
tensorflow,https://github.com/tensorflow/tensorflow/commit/c3bf76a0f6cf77dbebf2ae3956d82dbc8d26dfce,N.A,2024-06-04 6:18:53,clean
tensorflow,https://github.com/tensorflow/tensorflow/commit/3e7ca2fd3b1eeda89fcdde43dce532c1f350cfaf,N.A,2024-06-03 5:41:53,clean
tensorflow,https://github.com/tensorflow/tensorflow/commit/0a9e492aa9c5aef2356bcf59a2d4ab7a21ebaaae,N.A,2024-05-31 17:01:29,clean
tensorflow,https://github.com/tensorflow/tensorflow/commit/8d97018e3fca33a15e105b50c2040f5cb1d1a3dd,N.A,2024-05-16 15:20:15,clean
tensorflow,https://github.com/tensorflow/tensorflow/commit/c05f5ad3d7da282726597343b19e8c6af6e71b1c,N.A,2024-05-16 14:37:32,clean
tensorflow,https://github.com/tensorflow/tensorflow/commit/4cd6e86c8f967c85f17a257aa319959070f6a474,N.A,2024-05-06 9:41:13,clean
tensorflow,https://github.com/tensorflow/tensorflow/commit/e33b6a9fc398eaa316b5f0180c692cfdf5e7489e,N.A,2024-05-03 9:11:17,clean
tensorflow,https://github.com/tensorflow/tensorflow/commit/5695fb751b34c1e43dd66514d8aaa8c47f7d7272,N.A,2024-04-30 21:28:02,clean
tensorflow,https://github.com/tensorflow/tensorflow/commit/0572875fcdcaa379df4670c5c72073db9b286033,N.A,2024-04-30 11:20:37,clean
tensorflow,https://github.com/tensorflow/tensorflow/commit/43117ea9f137c5cc035ea764c8d09533e44e6e7e,N.A,2024-04-23 15:17:03,clean
tensorflow,https://github.com/tensorflow/tensorflow/commit/5a1a2cff8e347c4f7270f598eccfeba25c315125,N.A,2024-04-10 0:45:11,clean
tensorflow,https://github.com/tensorflow/tensorflow/commit/58060b4017b971435b5473c21da3d5228a9e41da,N.A,2024-03-22 16:35:39,clean
tensorflow,https://github.com/tensorflow/tensorflow/commit/304704326d063da9fdc6713f5e8c07bd27d5f44e,N.A,2024-03-22 15:30:15,clean
tensorflow,https://github.com/tensorflow/tensorflow/commit/f0ae6583f5d39ac2f3d53e1ac22bedd51ccc6d8d,N.A,2024-03-22 13:10:17,clean
tensorflow,https://github.com/tensorflow/tensorflow/commit/33e9917b87b81e82eae5a7a8cade883f3d58203a,N.A,2024-03-20 6:56:02,clean
tensorflow,https://github.com/tensorflow/tensorflow/commit/9c1b61a664d66b15d07c25e713d8d96f6bf347c8,N.A,2024-03-18 23:43:53,clean
tensorflow,https://github.com/tensorflow/tensorflow/commit/6270fba5f2a619733802a8cd315e6f4dc54a42c9,N.A,2024-03-14 22:43:30,clean
tensorflow,https://github.com/tensorflow/tensorflow/commit/3a25086bb131f6dee91af2b72ef515e8651dc98d,N.A,2024-03-12 17:22:55,clean
tensorflow,https://github.com/tensorflow/tensorflow/commit/aa196c211622ce756ca1b04839560f7f21f41a5f,N.A,2024-03-11 16:16:26,clean
tensorflow,https://github.com/tensorflow/tensorflow/commit/0be2df838182f145ffa13df7c78c75ba55b2d22f,N.A,2024-03-07 18:41:51,clean
tensorflow,https://github.com/tensorflow/tensorflow/commit/50afbc66222d0e7039c42b7f6e4113b68ea0d06a,N.A,2024-02-22 17:01:10,clean
tensorflow,https://github.com/tensorflow/tensorflow/commit/28756cc0ee44382c42cbd9b365ab54799c743eb2,N.A,2024-02-14 11:34:17,clean
tensorflow,https://github.com/tensorflow/tensorflow/commit/8bbba12f90e2b31ea7069d49ca3601f25b929646,N.A,2024-02-08 16:17:06,clean
tensorflow,https://github.com/tensorflow/tensorflow/commit/e9631117dfdc53faa84f307e36da412c9ced75eb,N.A,2024-02-08 9:25:15,clean
tensorflow,https://github.com/tensorflow/tensorflow/commit/a4709906daf8654f57f34d4ae6bae66df3b50d0f,N.A,2024-02-07 14:08:50,clean
tensorflow,https://github.com/tensorflow/tensorflow/commit/1f976fc26c9e031eaf34b32449d4ae096608f25d,N.A,2024-01-29 9:49:01,clean
tensorflow,https://github.com/tensorflow/tensorflow/commit/072c9076d56230c72ef27c948abec5e5f6101adb,N.A,2024-01-22 14:06:10,clean
tensorflow,https://github.com/tensorflow/tensorflow/commit/ffc4b2535c52c03fd8da451c3333ef5588466234,N.A,2024-01-22 5:01:38,clean
tensorflow,https://github.com/tensorflow/tensorflow/commit/16a53751b9e48afe5302e13d0f1edd144460a36a,N.A,2024-01-13 11:04:49,clean
tensorflow,https://github.com/tensorflow/tensorflow/commit/0d6d425e00eb931fb6c69c3de16a3962f0fbab1a,N.A,2024-01-12 3:08:19,clean
tensorflow,https://github.com/tensorflow/tensorflow/commit/6c0ae64819af838154ebbf8816267d28387c0879,N.A,2024-01-11 19:04:44,clean
tensorflow,https://github.com/tensorflow/tensorflow/commit/035c672099d787aed744f57477ea08e3fd0218f0,N.A,2024-01-11 12:49:35,clean
tensorflow,https://github.com/tensorflow/tensorflow/commit/c150bb6edd8d82686efeeff8c1083bcd0a57c96f,N.A,2024-01-02 6:59:19,clean
