Library,Commit,Date,Root Cause,Label
pytorch,https://github.com/pytorch/pytorch/commit/8f07b7a0695a233438da03f4a02156d5838e5401,2022-07-13 3:16:38,N.A,Clean
pytorch,https://github.com/pytorch/pytorch/commit/8f2e29fe99ef1576ab0b67862f610300af7e26b1,2022-07-13 21:32:03,N.A,Clean
pytorch,https://github.com/pytorch/pytorch/commit/72de816f5c6c74a866359ed394893ab88073e1a0,2022-07-19 1:00:36,N.A,Clean
pytorch,https://github.com/pytorch/pytorch/commit/fca695edbe3000d291d13b0e9015fba4c181630d,2022-07-20 16:18:37,N.A,Clean
pytorch,https://github.com/pytorch/pytorch/commit/a31aab71b4ba047d2e2acf90d966151b32ded1a9,2022-07-21 3:54:03,N.A,Clean
pytorch,https://github.com/pytorch/pytorch/commit/8201dfc2d5eb79dd77a73e05f15ed5ea07b1f30f,2022-07-21 13:40:50,N.A,Clean
pytorch,https://github.com/pytorch/pytorch/commit/a7f406ce58c30448b15f6adf16affdbee1d82752,2022-07-21 13:40:53,N.A,Clean
pytorch,https://github.com/pytorch/pytorch/commit/180214ddb9737957027e30d00fa9dac693e36077,2022-07-21 13:40:54,N.A,Clean
pytorch,https://github.com/pytorch/pytorch/commit/227d0c9c2ba2e03d305fa3a6930384cceaf53dd6,2022-07-21 13:41:00,N.A,Clean
pytorch,https://github.com/pytorch/pytorch/commit/3dd4196d1a6927f6f2cce9bffb1983ddcac91adc,2022-07-21 13:41:01,N.A,Clean
pytorch,https://github.com/pytorch/pytorch/commit/8bd71e0a0c689ad3da93d4ac9081e6df7d39fff3,2022-07-21 13:41:03,N.A,Clean
pytorch,https://github.com/pytorch/pytorch/commit/2f64f5fa454dc110a8f08233553028152720d4cf,2022-07-21 13:41:05,N.A,Clean
pytorch,https://github.com/pytorch/pytorch/commit/f50fee6c2c3575514b0f95baceadf9720a66f800,2022-07-21 13:41:08,N.A,Clean
pytorch,https://github.com/pytorch/pytorch/commit/9052153fec723c7ef1f6b21d39a276aa3e1874f9,2022-07-21 13:41:16,N.A,Clean
pytorch,https://github.com/pytorch/pytorch/commit/6311baf0306bc1495d81bf4a8ff9ebaa4ae12398,2022-07-21 13:41:16,N.A,Clean
